Player,Season,Points,Field Goal %,Three Pointer %,Free Throw %,ORB,Turnovers
Mo Williams,2009,16,.545,.600,.500,0,2
Mo Williams,2009,26,.563,.500,1.000,1,3
Mo Williams,2009,17,.308,.000,.818,1,0
Mo Williams,2009,16,.375,.400,1.000,2,5
Mo Williams,2009,33,.632,.667,1.000,0,4
Mo Williams,2009,14,.353,.200,.500,0,2
Mo Williams,2009,25,.400,.455,1.000,0,2
Mo Williams,2009,43,.625,.583,1.000,1,5
Mo Williams,2009,12,.267,.250,1.000,0,2
Mo Williams,2009,23,.500,.833,1.000,0,1
Mo Williams,2009,22,.500,.000,1.000,0,2
Mo Williams,2009,16,.438,.333,,0,2
Mo Williams,2009,9,.250,.400,1.000,2,1
Mo Williams,2009,19,.368,.750,1.000,1,2
Mo Williams,2009,15,.389,.000,1.000,0,3
Mo Williams,2009,44,.692,.778,.333,2,4
Mo Williams,2009,17,.636,.500,1.000,0,3
Mo Williams,2009,23,.471,.500,1.000,0,4
Mo Williams,2009,11,.444,.667,1.000,0,0
Mo Williams,2009,18,.500,.600,1.000,1,4
Mo Williams,2009,21,.444,.429,1.000,0,1
Mo Williams,2009,9,.444,.000,1.000,0,0
Mo Williams,2009,20,.533,.800,,1,3
Mo Williams,2009,30,.526,.400,.889,1,4
Mo Williams,2009,15,.556,.750,1.000,0,2
Mo Williams,2009,26,.533,.800,1.000,2,0
Mo Williams,2009,29,.667,.857,1.000,0,3
Mo Williams,2009,14,.235,.250,.800,1,4
Mo Williams,2009,30,.435,.600,1.000,3,1
Mo Williams,2009,10,.214,.000,1.000,0,1
Mo Williams,2009,23,.615,1.000,.667,0,3
Mo Williams,2009,21,.450,.375,.000,1,2
Mo Williams,2009,12,.267,.222,1.000,1,2
Mo Williams,2009,24,.571,.750,1.000,0,1
Mo Williams,2009,7,.300,.333,,2,0
Mo Williams,2009,16,.417,.444,.667,1,4
Mo Williams,2009,22,.571,.500,1.000,0,3
Mo Williams,2009,22,.438,.286,.857,0,2
Mo Williams,2009,11,.286,.200,.667,1,0
Mo Williams,2009,19,.467,.333,.500,2,0
Mo Williams,2009,10,.429,.500,1.000,0,3
Mo Williams,2009,22,.600,.667,,0,0
Mo Williams,2009,14,.500,.500,,0,1
Mo Williams,2009,18,.467,.375,1.000,0,0
Mo Williams,2009,13,.600,.500,,0,4
Mo Williams,2009,18,.462,.600,1.000,0,3
Mo Williams,2009,,,,,,
