Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
Tony Parker,2014,11,5,10,.500,0,0,,1,2,.500,0,1,1,7,0,0,4,2
Tony Parker,2014,11,4,9,.444,1,2,.500,2,2,1.000,0,1,1,7,0,1,2,2
Tony Parker,2014,17,6,16,.375,1,2,.500,4,6,.667,0,1,1,4,0,0,2,1
Tony Parker,2014,20,8,17,.471,1,3,.333,3,3,1.000,0,2,2,6,0,1,1,2
Tony Parker,2014,18,8,19,.421,1,4,.250,1,3,.333,0,3,3,10,0,1,2,1
Tony Parker,2014,32,12,24,.500,0,3,.000,8,9,.889,0,2,2,9,2,0,2,2
Tony Parker,2014,4,2,5,.400,0,1,.000,0,0,,0,0,0,5,0,0,4,0
Tony Parker,2014,,,,,,,,,,,,,,,,,,
Tony Parker,2014,9,3,13,.231,0,2,.000,3,4,.750,1,2,3,5,0,1,1,1
Tony Parker,2014,11,5,9,.556,0,0,,1,1,1.000,0,1,1,3,0,0,1,0
Tony Parker,2014,,,,,,,,,,,,,,,,,,
Tony Parker,2014,,,,,,,,,,,,,,,,,,
Tony Parker,2014,,,,,,,,,,,,,,,,,,
Tony Parker,2014,,,,,,,,,,,,,,,,,,
Tony Parker,2014,,,,,,,,,,,,,,,,,,
Tony Parker,2014,,,,,,,,,,,,,,,,,,
Tony Parker,2014,22,10,15,.667,1,2,.500,1,1,1.000,0,3,3,7,0,0,1,1
Tony Parker,2014,7,3,11,.273,0,1,.000,1,2,.500,1,0,1,5,0,0,2,1
Tony Parker,2014,,,,,,,,,,,,,,,,,,
Tony Parker,2014,17,6,14,.429,0,0,,5,6,.833,0,1,1,4,0,2,2,0
Tony Parker,2014,30,11,19,.579,1,2,.500,7,8,.875,0,1,1,5,0,0,2,3
Tony Parker,2014,20,8,15,.533,0,0,,4,6,.667,0,0,0,9,1,0,0,3
Tony Parker,2014,9,4,13,.308,0,0,,1,2,.500,1,3,4,5,0,0,4,1
Tony Parker,2014,7,3,4,.750,1,1,1.000,0,0,,0,1,1,4,0,0,2,1
Tony Parker,2014,18,7,11,.636,0,0,,4,4,1.000,0,0,0,7,0,0,3,2
Tony Parker,2014,25,11,16,.688,0,0,,3,4,.750,0,3,3,5,0,0,1,0
Tony Parker,2014,14,6,15,.400,1,2,.500,1,1,1.000,0,5,5,4,1,1,4,3
Tony Parker,2014,20,8,16,.500,0,1,.000,4,4,1.000,0,0,0,5,0,1,2,0
Tony Parker,2014,,,,,,,,,,,,,,,,,,
Tony Parker,2014,10,4,10,.400,0,0,,2,2,1.000,0,4,4,6,0,1,5,2
Tony Parker,2014,4,2,9,.222,0,0,,0,0,,1,1,2,2,0,1,1,1
Tony Parker,2014,2,1,5,.200,0,0,,0,0,,0,5,5,3,0,1,0,2
Tony Parker,2014,22,10,18,.556,0,0,,2,2,1.000,1,0,1,4,0,0,1,1
Tony Parker,2014,18,7,13,.538,0,0,,4,4,1.000,0,3,3,8,0,0,4,1
Tony Parker,2014,6,3,10,.300,0,1,.000,0,1,.000,2,2,4,3,0,0,3,2
Tony Parker,2014,10,4,4,1.000,0,0,,2,2,1.000,0,1,1,1,0,0,1,0
Tony Parker,2014,,,,,,,,,,,,,,,,,,
Tony Parker,2014,,,,,,,,,,,,,,,,,,
Tony Parker,2014,18,9,18,.500,0,0,,0,0,,0,1,1,3,0,1,0,0
Tony Parker,2014,,,,,,,,,,,,,,,,,,
Tony Parker,2014,10,4,9,.444,0,0,,2,2,1.000,0,4,4,1,0,2,0,0
Tony Parker,2014,12,5,10,.500,0,1,.000,2,2,1.000,0,2,2,4,0,1,0,2
Trae Young,2022,19,6,16,.375,2,5,.400,5,5,1.000,0,2,2,14,0,0,5,0
Trae Young,2022,24,8,22,.364,1,6,.167,7,7,1.000,0,1,1,7,0,3,2,1
Trae Young,2022,32,13,21,.619,2,5,.400,4,4,1.000,0,4,4,9,0,1,2,2
