Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
Tim Duncan,2015,10,4,8,.500,0,0,,2,2,1.000,1,4,5,4,3,0,0,4
Tim Duncan,2015,12,5,10,.500,0,0,,2,2,1.000,2,9,11,1,3,1,0,2
Tim Duncan,2015,6,2,5,.400,0,0,,2,4,.500,0,3,3,0,1,0,1,0
Tim Duncan,2015,4,1,1,1.000,0,0,,2,2,1.000,0,7,7,4,2,0,2,1
Tim Duncan,2015,19,6,7,.857,0,0,,7,8,.875,2,5,7,2,0,0,2,1
Tim Duncan,2015,12,5,9,.556,0,0,,2,2,1.000,2,7,9,3,5,1,4,0
Tim Duncan,2015,6,2,5,.400,0,0,,2,2,1.000,2,8,10,1,4,2,2,2
Tim Duncan,2015,29,12,15,.800,0,0,,5,8,.625,4,6,10,2,3,1,3,4
Tim Duncan,2015,,,,,,,,,,,,,,,,,,
Tim Duncan,2015,22,7,11,.636,0,0,,8,9,.889,3,7,10,4,2,2,1,1
Tim Duncan,2015,15,6,9,.667,0,0,,3,4,.750,1,9,10,6,0,1,1,2
Tracy McGrady,2007,25,8,24,.333,1,4,.250,8,13,.615,1,4,5,9,0,3,1,1
Tracy McGrady,2007,8,4,11,.364,0,1,.000,0,3,.000,0,3,3,4,0,0,1,4
Tracy McGrady,2007,14,5,15,.333,0,3,.000,4,5,.800,1,6,7,7,0,2,5,3
Tracy McGrady,2007,19,6,15,.400,0,4,.000,7,9,.778,2,7,9,4,0,2,6,1
Tracy McGrady,2007,32,11,19,.579,3,5,.600,7,11,.636,2,4,6,5,3,1,4,1
Tracy McGrady,2007,13,4,12,.333,2,6,.333,3,5,.600,1,3,4,8,0,0,3,4
Tracy McGrady,2007,12,6,18,.333,0,4,.000,0,0,,1,3,4,8,0,0,2,2
Tracy McGrady,2007,26,10,25,.400,4,7,.571,2,4,.500,1,7,8,6,0,2,1,1
Tracy McGrady,2007,21,8,17,.471,2,7,.286,3,4,.750,1,10,11,7,1,1,4,3
Tracy McGrady,2007,24,9,16,.563,1,5,.200,5,5,1.000,0,2,2,3,0,0,1,5
Tracy McGrady,2007,24,6,15,.400,3,8,.375,9,11,.818,0,4,4,5,3,2,4,3
Tracy McGrady,2007,13,5,12,.417,2,6,.333,1,4,.250,0,12,12,8,1,1,5,4
Tracy McGrady,2007,19,7,15,.467,1,4,.250,4,6,.667,0,5,5,13,0,0,5,0
Tracy McGrady,2007,8,4,14,.286,0,2,.000,0,0,,0,2,2,7,0,0,3,0
Tracy McGrady,2007,23,9,26,.346,4,9,.444,1,2,.500,0,5,5,7,0,1,4,1
Tracy McGrady,2007,7,3,5,.600,1,2,.500,0,0,,0,3,3,3,1,0,0,1
Tracy McGrady,2007,31,13,25,.520,2,8,.250,3,4,.750,1,1,2,7,1,3,5,1
Tracy McGrady,2007,14,5,21,.238,0,3,.000,4,6,.667,3,7,10,7,2,0,5,3
Tracy McGrady,2007,23,9,13,.692,0,1,.000,5,6,.833,2,3,5,5,0,2,1,1
Tracy McGrady,2007,28,10,21,.476,1,5,.200,7,10,.700,1,3,4,3,1,0,3,0
Tracy McGrady,2007,,,,,,,,,,,,,,,,,,
Tracy McGrady,2007,,,,,,,,,,,,,,,,,,
Tracy McGrady,2007,,,,,,,,,,,,,,,,,,
Tracy McGrady,2007,,,,,,,,,,,,,,,,,,
Tracy McGrady,2007,,,,,,,,,,,,,,,,,,
Tracy McGrady,2007,,,,,,,,,,,,,,,,,,
Tracy McGrady,2007,,,,,,,,,,,,,,,,,,
Tracy McGrady,2007,,,,,,,,,,,,,,,,,,
Tracy McGrady,2007,19,7,22,.318,1,5,.200,4,7,.571,1,2,3,5,0,1,7,2
Tracy McGrady,2007,17,4,16,.250,1,4,.250,8,8,1.000,1,2,3,6,1,1,5,1
Tracy McGrady,2007,31,13,18,.722,4,6,.667,1,6,.167,0,1,1,1,0,1,4,2
Tracy McGrady,2007,38,15,30,.500,5,8,.625,3,4,.750,2,7,9,3,0,1,4,1
Tracy McGrady,2007,31,11,21,.524,3,6,.500,6,8,.750,2,4,6,7,0,1,2,1
Tracy McGrady,2007,44,14,31,.452,3,10,.300,13,16,.813,1,8,9,2,0,1,1,4
Tracy McGrady,2007,31,12,29,.414,2,6,.333,5,10,.500,2,4,6,4,1,1,5,2
Tracy McGrady,2007,31,14,29,.483,2,7,.286,1,2,.500,0,6,6,8,1,2,1,3
Tracy McGrady,2007,8,4,16,.250,0,7,.000,0,2,.000,1,4,5,12,0,1,2,2
Tracy McGrady,2007,12,5,17,.294,0,4,.000,2,9,.222,0,8,8,11,0,2,1,1
Tracy McGrady,2007,37,12,31,.387,3,7,.429,10,11,.909,0,2,2,9,0,2,1,4
Tracy McGrady,2007,45,17,29,.586,4,11,.364,7,9,.778,0,5,5,7,1,1,1,1
Tracy McGrady,2007,,,,,,,,,,,,,,,,,,
Tracy McGrady,2007,,,,,,,,,,,,,,,,,,
Tracy McGrady,2007,24,9,25,.360,2,6,.333,4,4,1.000,1,5,6,10,2,1,3,1
Tracy McGrady,2007,37,14,24,.583,1,2,.500,8,9,.889,1,7,8,3,1,0,6,3
Tracy McGrady,2007,28,11,16,.688,3,6,.500,3,7,.429,0,4,4,5,0,1,4,1
Tracy McGrady,2007,25,8,14,.571,2,6,.333,7,7,1.000,0,4,4,5,0,2,2,1
Tracy McGrady,2007,36,13,23,.565,4,7,.571,6,8,.750,2,3,5,9,0,2,3,0
Tracy McGrady,2007,18,7,16,.438,2,4,.500,2,4,.500,1,2,3,5,0,3,3,1
Tracy McGrady,2007,32,12,27,.444,2,4,.500,6,8,.750,3,2,5,4,0,2,2,1
Tracy McGrady,2007,33,12,26,.462,1,4,.250,8,8,1.000,0,6,6,8,0,1,2,1
