Player,Best Model,MSE,R^2
LaMelo Ball,Linear Regression,7.45151198490337,0.9067267456384653
Latrell Sprewell,XGBoost,1.3547419656583983,0.956642837453613
Lauri Markkanen,Linear Regression,4.331932860708212,0.8964941816118072
LeBron James,Linear Regression,0.4704497325193064,0.991993697448761
Luka Doncic,Linear Regression,3.4035128792343734,0.9649622830377912
Luol Deng,Linear Regression,0.3047423962607633,0.9927452507440387
Manu Ginobili,Linear Regression,0.7868217795411584,0.9821657689009139
Marc Gasol,Linear Regression,0.7451435355349901,0.989676237292555
Mehmet Okur,XGBoost,1.769301822589913,0.9591509140773318
Michael Finley,Linear Regression,0.4921406871704775,0.9893565315897714
Michael Jordan,XGBoost,4.605312585978191,0.9425156155781338
Michael Redd,Linear Regression,0.7499370201699432,0.9880322184207933
Mike Conley,Linear Regression,1.2460691031583049,0.970542101580182
Mo Williams,Linear Regression,0.45082202574582014,0.9903691086147015
Nikola Jokic,Linear Regression,0.5316529824093069,0.9908780773990895
Nikola Vucevic,XGBoost,3.2622463254173018,0.9463238032946054
Pascal Siakam,Linear Regression,1.556177085437041,0.9725734458460876
Pau Gasol,Linear Regression,1.5171963486335622,0.9420819174681793
Paul George,Linear Regression,5.578139320660146,0.7488441995700545
Paul Millsap,Linear Regression,0.3201543163428148,0.9897637967704525
Paul Pierce,Linear Regression,3.301690959523091,0.9232058715371725
Peja Stojakovic,XGBoost,3.684709384717405,0.9200098102757426
Rajon Rondo,Linear Regression,0.828994856834316,0.9847629165533041
Rashard Lewis,Linear Regression,0.8113596227803939,0.9662578786611248
Rasheed Wallace,Linear Regression,13.511203479366957,0.3755762939467324
Ray Allen,Linear Regression,2.2535965270447207,0.8992806021432527
Reggie Miller,Random Forest,5.259644444444445,0.8422236523742901
Richard Hamilton,Linear Regression,10.958192837975352,0.8578683429048146
Ronald Artest,Linear Regression,0.46003899855729924,0.9842058786011313
Roy Hibbert,Linear Regression,0.18647098872911125,0.9953670679980927
Rudy Gobert,Linear Regression,1.5874194695231358,0.9212517803020667
Russell Westbrook,Linear Regression,1.2444232467166938,0.9718199747159156
Sam Cassell,Linear Regression,10.862488375260583,0.6664111055582163
Shai Gilgeous-Alexander,Linear Regression,1.1129848160501434,0.985685745533967
Shaquille O'Neal,Linear Regression,4.1065441015174295,0.9202987851073235
Shareef Abdur-Rahim,Linear Regression,2.000676182579747,0.9562161011527502
Shawn Marion,Linear Regression,1.1586749683595896,0.976912997391891
Stephen Curry,Linear Regression,2.3104464469685704,0.9680816259344256
Stephon Marbury,Linear Regression,1.4725431040300452,0.9817739652631305
Steve Francis,Linear Regression,0.696873896802344,0.9879163682952231
Steve Nash,Linear Regression,3.2957726845355007,0.944499403198818
Tim Duncan,Linear Regression,0.8920357883655499,0.9750146781515799
Tony Parker,Linear Regression,5.276076529033359,0.8992545500113857
Tracy McGrady,Linear Regression,15.096907262284484,0.7995801008786794
Trae Young,Linear Regression,1.2884676676138451,0.9839379457885985
Tyrese Haliburton,XGBoost,2.7857522145104077,0.9469068401469781
Tyson Chandler,Random Forest,3.4062961538461543,0.7921039906103287
Victor Oladipo,Linear Regression,0.4624386313320508,0.9911114209226527
Vince Carter,Linear Regression,9.616020677403213,0.8386116185665305
Vlade Divac,Linear Regression,0.6656254370343855,0.9843610334211339
Wally Szczerbiak,Linear Regression,1.1387669696743028,0.9644094469643176
Yao Ming,Linear Regression,4.291248731487989,0.9105734284702206
Zach LaVine,Linear Regression,17.023584916866504,0.7857741599274843
Zach Randolph,Linear Regression,1.861932695556168,0.9545643913933006
Zion Williamson,Linear Regression,1.4647312737171403,0.9642718316927538
Zydrunas Ilgauskas,Linear Regression,1.0189394541529653,0.9806287432736268
